date,city,cid,industry,platform,number,amount
202307,基隆市,C,運輸輔助業,無載具,210694,18706206
202407,南投縣,M,其他社會工作服務業,使用載具,220,508652
202307,臺北市,A,建築物及綠化服務業,無載具,4761,40247419
202211,臺中市,B,電力及燃氣供應業,使用載具,1050977,2202809626
202307,嘉義市,I,零售業,無載具,2974086,1686799908
202302,桃園市,H,紙漿、紙及紙製品製造業,無載具,51,1834887
202307,新北市,F,紡織業,無載具,4353,28612131
202302,臺中市,B,其他化學製品製造業,無載具,1562,427992022
202307,桃園市,H,郵政及快遞業,使用載具,506,98222
202211,臺南市,D,用水供應業,使用載具,343120,139764260
202307,新竹市,O,皮革、毛皮及其製品製造業,無載具,9,14949
202307,新竹縣,J,陸上運輸業,使用載具,2526,1591822
202307,新竹縣,J,廣播、電視節目編排及傳播業,使用載具,43181,43832660
202407,臺北市,A,專門設計業,使用載具,21096,68441735
202302,金門縣,W,陸上運輸業,無載具,2036,1731951
202407,苗栗縣,K,餐飲業,無載具,1045722,299327168
202407,臺南市,D,電腦程式設計、諮詢及相關服務業,使用載具,552,3816892
202211,高雄市,E,紡織業,無載具,1020,168559590
202307,基隆市,C,食品及飼品製造業,使用載具,3648,951392
202211,新北市,F,木竹製品製造業,使用載具,15,94057
202211,雲林縣,P,電信業,使用載具,475358,288549176
202407,臺南市,D,醫療保健業,無載具,400,5984041
202407,澎湖縣,X,專門設計業,使用載具,1383,1335896
202211,新竹市,O,藥品及醫用化學製品製造業,無載具,38,155195
202307,花蓮縣,U,用水供應業,使用載具,54634,22501125
202307,屏東縣,T,金融服務業,使用載具,385,9970
202407,嘉義縣,Q,建築物及綠化服務業,無載具,8208,4499342
202211,臺南市,D,郵政及快遞業,使用載具,19896,3172432
202407,彰化縣,N,專門營造業,使用載具,1155,1769459
202211,基隆市,C,運輸輔助業,使用載具,37678,3743917
202211,花蓮縣,U,行政支援服務業,使用載具,2,135000
202307,基隆市,C,未分類其他服務業,使用載具,139,371743
202307,新北市,F,零售業,使用載具,39931823,11725227636
202211,高雄市,E,郵政及快遞業,無載具,22762,13742727
202211,臺南市,D,皮革、毛皮及其製品製造業,無載具,5526,11208931
202302,臺東縣,V,資訊服務業,使用載具,357,136227
202211,臺北市,A,建築工程業,使用載具,921,35966648
202211,新竹縣,J,批發業,使用載具,92022,109189853
202407,屏東縣,T,運動、娛樂及休閒服務業,使用載具,69587,46667069
202307,臺北市,A,研究發展服務業,無載具,400,50775608
202302,臺中市,B,餐飲業,無載具,8319843,2545138160
202211,南投縣,M,飲料製造業,無載具,30045,12512045
202407,新竹縣,J,批發業,使用載具,204774,172255825
202211,桃園市,H,專門設計業,無載具,16820,35331316
202407,新竹縣,J,人力仲介及供應業,使用載具,29260,8038489
202407,臺北市,A,電腦程式設計、諮詢及相關服務業,無載具,67129,476344251
202211,新竹市,O,個人及家庭用品維修業,使用載具,2691,15883350
202302,高雄市,E,其他運輸工具及其零件製造業,無載具,413,1001804187
202407,宜蘭縣,G,印刷及資料儲存媒體複製業,使用載具,2,550
202307,新竹市,O,電力設備及配備製造業,無載具,112,342715
202211,雲林縣,P,其他社會工作服務業,無載具,19,22707
202302,南投縣,M,電信業,無載具,6086,23637423
